location,month,month_name,week,order
TTRS,3,March,1,"29,32,31,30,28,27,24,25,26"
TTRS,3,March,2,"24,25,26,29,32,31,30,28,27"
TTRS,3,March,3,"30,28,27,24,25,26,29,32,31"
TTRS,4,April,1,"32,31,30,28,27,24,25,26,29"
TTRS,4,April,2,"25,26,29,32,31,30,28,27,24"
TTRS,4,April,3,"28,27,24,25,26,29,32,31,30"
TTRS,5,May,1,"31,30,28,27,24,25,26,29,32"
TTRS,5,May,2,"26,29,32,31,30,28,27,24,25"
TTRS,5,May,3,"27,24,25,26,29,32,31,30,28"
TTRS,6,June,1,"30,28,27,24,25,26,29,32,31"
TTRS,6,June,2,"29,32,31,30,28,27,24,25,26"
TTRS,6,June,3,"24,25,26,29,32,31,30,28,27"
TTRS,7,July,1,"28,27,24,25,26,29,32,31,30"
TTRS,7,July,2,"32,31,30,28,27,24,25,26,29"
TTRS,7,July,3,"25,26,29,32,31,30,28,27,24"
TTRS,8,August,1,"27,24,25,26,29,32,31,30,28"
TTRS,8,August,2,"31,30,28,27,24,25,26,29,32"
TTRS,8,August,3,"26,29,32,31,30,28,27,24,25"
ARCA,3,March,1,"1,2,3,5,7,6,4"
ARCA,3,March,2,"7,6,4,1,2,3,5"
ARCA,3,March,3,"3,5,7,6,4,1,2"
ARCA,4,April,1,"2,3,5,7,6,4,1"
ARCA,4,April,2,"6,4,1,2,3,5,7"
ARCA,4,April,3,"5,7,6,4,1,2,3"
ARCA,5,May,1,"3,5,7,6,4,1,2"
ARCA,5,May,2,"4,1,2,3,5,7,6"
ARCA,5,May,3,"7,6,4,1,2,3,5"
ARCA,6,June,1,"5,7,6,4,1,2,3"
ARCA,6,June,2,"1,2,3,5,7,6,4"
ARCA,6,June,3,"6,4,1,2,3,5,7"
ARCA,7,July,1,"7,6,4,1,2,3,5"
ARCA,7,July,2,"2,3,5,7,6,4,1"
ARCA,7,July,3,"4,1,2,3,5,7,6"
ARCA,8,August,1,"6,4,1,2,3,5,7"
ARCA,8,August,2,"3,5,7,6,4,1,2"
ARCA,8,August,3,"1,2,3,5,7,6,4"
GREN,3,March,1,"8,11,10,9,12,13,14"
GREN,3,March,2,"14,13,12,11,10,9,8"
GREN,3,March,3,"9,10,11,8,14,13,12"
GREN,4,April,1,"8,11,10,9,12,13,14"
GREN,4,April,2,"14,13,12,11,10,9,8"
GREN,4,April,3,"9,10,11,8,14,13,12"
GREN,5,May,1,"8,11,10,9,12,13,14"
GREN,5,May,2,"14,13,12,11,10,9,8"
GREN,5,May,3,"9,10,11,8,14,13,12"
GREN,6,June,1,"8,11,10,9,12,13,14"
GREN,6,June,2,"14,13,12,11,10,9,8"
GREN,6,June,3,"9,10,11,8,14,13,12"
GREN,7,July,1,"8,11,10,9,12,13,14"
GREN,7,July,2,"14,13,12,11,10,9,8"
GREN,7,July,3,"9,10,11,8,14,13,12"
GREN,8,August,1,"8,11,10,9,12,13,14"
GREN,8,August,2,"14,13,12,11,10,9,8"
GREN,8,August,3,"9,10,11,8,14,13,12"
LIVI,3,March,1,"23,22,18,16,20,21,19,17,15"
LIVI,3,March,2,"19,17,15,16,18,22,23,20,21"
LIVI,3,March,3,"16,20,21,19,17,15,18,22,23"
LIVI,4,April,1,"23,22,18,16,20,21,19,17,15"
LIVI,4,April,2,"19,17,15,16,18,22,23,20,21"
LIVI,4,April,3,"16,20,21,19,17,15,18,22,23"
LIVI,5,May,1,"23,22,18,16,20,21,19,17,15"
LIVI,5,May,2,"19,17,15,16,18,22,23,20,21"
LIVI,5,May,3,"16,20,21,19,17,15,18,22,23"
LIVI,6,June,1,"23,22,18,16,20,21,19,17,15"
LIVI,6,June,2,"19,17,15,16,18,22,23,20,21"
LIVI,6,June,3,"16,20,21,19,17,15,18,22,23"
LIVI,7,July,1,"23,22,18,16,20,21,19,17,15"
LIVI,7,July,2,"19,17,15,16,18,22,23,20,21"
LIVI,7,July,3,"16,20,21,19,17,15,18,22,23"
LIVI,8,August,1,"23,22,18,16,20,21,19,17,15"
LIVI,8,August,2,"19,17,15,16,18,22,23,20,21"
LIVI,8,August,3,"16,20,21,19,17,15,18,22,23"
