FID,Species,Decay_25,DBH,Num_cavs,Perc_puny,Perc_bark,comment,Checked,Photo25,ec5_uud,GlobalID,x,y
1,Pinus spp,5 loss most of secondary limbs,41-50,6,100,0, ,Y,https://five.epicollect.net/api/media/ttrs-snag-survey?type=photo&format=entry_original&name=006d594e-906a-40e9-95d3-66f4a68d0422_1770992202.jpg,006d594e-906a-40e9-95d3-66f4a68d0422,ed52c92a-b7ef-4526-a205-8a69b22638f9,-84.0185409581839,30.8461118068026
2,PIPA,"4 loss of most tertiary limbs, secondary limbs present",51-60,2,90,35, Double entry last year. Keep lightning strike obs,Y,https://five.epicollect.net/api/media/ttrs-snag-survey?type=photo&format=entry_original&name=cd9c4ddf-91f9-48d6-96a9-974b959134b6_1770990269.jpg,cd9c4ddf-91f9-48d6-96a9-974b959134b6,b33e22d7-61e0-4bf0-b7e2-8f9579763343,-84.0220149602514,30.866571811474
3,Pinus spp,"4 loss of most tertiary limbs, secondary limbs present",51-60,1,100,80," Lightning death, last year punky is wrong",Y,https://five.epicollect.net/api/media/ttrs-snag-survey?type=photo&format=entry_original&name=52bbee8c-c56d-4c34-b744-97a21bffce9e_1770919598.jpg,52bbee8c-c56d-4c34-b744-97a21bffce9e,8f0adf75-ac7f-48d6-a840-b30fe3861de2,-84.0118525089867,30.7587970501109
4,PITA loblolly,9 snag gone,51-60,3,70,30, Cut,Y,https://five.epicollect.net/api/media/ttrs-snag-survey?type=photo&format=entry_original&name=d0d18972-a3bf-47ab-9659-2b5debe99c5e_1770823001.jpg,d0d18972-a3bf-47ab-9659-2b5debe99c5e,4440b12e-b05f-46c5-ba8a-cf89191eac90,-83.6858738538436,30.6453407713363
5,PITA loblolly,9 snag gone,51-60,2,50,50, Cut,Y,https://five.epicollect.net/api/media/ttrs-snag-survey?type=photo&format=entry_original&name=41ae4bda-1aa7-4876-a163-61d9e7ce80dc_1770822675.jpg,41ae4bda-1aa7-4876-a163-61d9e7ce80dc,c3a33177-07ef-43ac-be67-453b6f6123be,-83.6855798550141,30.6465467717632
6,PIEC shortleaf,9 snag gone,51-60,,5,95,Cut,Y,https://five.epicollect.net/api/media/ttrs-snag-survey?type=photo&format=entry_original&name=213acda6-7bc8-4396-b39e-589a413e1e68_1770822413.jpg,213acda6-7bc8-4396-b39e-589a413e1e68,e8a855b4-ef17-42d3-9c75-9e35f0bcfb44,-83.684908853921,30.6454567714838
7,Pinus spp,5 loss most of secondary limbs,51-60,4,75,10, ,Y,https://five.epicollect.net/api/media/ttrs-snag-survey?type=photo&format=entry_original&name=fe546432-59dd-4c97-9a9e-18fdcbef946a_1770575503.jpg,fe546432-59dd-4c97-9a9e-18fdcbef946a,71657d14-3da3-445c-8110-da484efad972,-84.2178772050667,30.6611439028016
8,Pinus spp,"6 broken off top, bole intact",41-50,4,10,0, ,Y,https://five.epicollect.net/api/media/ttrs-snag-survey?type=photo&format=entry_original&name=e09ab39e-e29e-47f7-a193-b40b3aa1a13e_1770574853.jpg,e09ab39e-e29e-47f7-a193-b40b3aa1a13e,6d7cbdfd-2405-49ea-919d-9b71532172ec,-84.2169501819004,30.6739059730273
9,Pinus spp,"6 broken off top, bole intact",61-70,5,100,20, ,,https://five.epicollect.net/api/media/ttrs-snag-survey?type=photo&format=entry_original&name=20d6a15e-fad4-4943-a0d2-a64dae6e3475_1770574647.jpg,20d6a15e-fad4-4943-a0d2-a64dae6e3475,6e164324-d6d9-45f1-878a-764576394696,-84.217040384211,30.6732199224592
10,Pinus spp,"8 well-decayed bole, ?3m tall",31-40,0,0,0, Cavity burnt,Y,https://five.epicollect.net/api/media/ttrs-snag-survey?type=photo&format=entry_original&name=6cfa782e-26cc-4736-9e2d-64d91b480da1_1770570755.jpg,6cfa782e-26cc-4736-9e2d-64d91b480da1,4ad5ad1e-f2db-4ee9-a864-90ebb0639699,-84.2392876839284,30.6623657364026
