ec5_uuid,created_at,uploaded_at,title,2_Location,3_Plot_number,4_Observer,5_time_start,6_date
be3e26b0-eea4-45ac-81e4-1c146c0ce263,2025-07-26T16:07:48.000Z,2025-07-26T16:17:14.000Z,"TTRS 29",TTRS,29,Rob,12:07,07/26/2025
d343596f-177d-452d-8072-e3d060ad9b6f,2025-07-26T13:12:32.000Z,2025-07-26T16:17:02.000Z,"TTRS 25",TTRS,25,Rob,09:12,07/26/2025
2e9ff0a8-390a-4e3e-b1ce-d02b2cfeeef1,2025-07-26T11:32:07.000Z,2025-07-26T16:16:48.000Z,"TTRS 26",TTRS,26,Rob,07:31,07/26/2025
e94652f2-35a4-42a5-9577-37f6c797ddf1,2025-07-25T13:34:57.000Z,2025-07-25T16:43:42.000Z,"ARCA 7",ARCA,7,Rob,09:34,07/25/2025
d9b2a8bf-8c3c-4805-8d72-642dd18f62d2,2025-07-25T12:22:45.000Z,2025-07-25T16:43:34.000Z,"ARCA 6",ARCA,6,Rob,08:22,07/25/2025
535c9419-4b00-4575-b10a-b927f1e03600,2025-07-24T13:13:17.000Z,2025-07-24T17:56:41.000Z,"GREN 11",GREN,11,Rob,09:13,07/24/2025
b4642416-bce9-46c1-8329-df326fe415d2,2025-07-24T12:47:17.000Z,2025-07-24T17:56:35.000Z,"GREN 10",GREN,10,Rob,08:47,07/24/2025
c6513067-cd19-461a-8c36-19f484916c4b,2025-07-24T11:58:49.000Z,2025-07-24T17:56:25.000Z,"GREN 9",GREN,9,Rob,07:58,07/24/2025
89889900-0808-46f9-b142-5f912a553ef0,2025-07-24T11:41:40.000Z,2025-07-24T17:56:21.000Z,"GREN 8",GREN,8,Rob,07:41,07/24/2025
ba3ea8da-f7d2-447d-b723-d3bd0e7f0d55,2025-07-23T12:01:18.000Z,2025-07-23T17:02:03.000Z,"TTRS 25",TTRS,25,Other,08:01,07/23/2025
e42f0ecc-ac9e-451f-883d-fad7f617b2c2,2025-07-23T13:33:56.000Z,2025-07-23T15:34:40.000Z,"TTRS 28",TTRS,28,Rob,09:33,07/23/2025
9b631338-5fef-400c-8af1-da11b799d1b4,2025-07-23T12:28:45.000Z,2025-07-23T15:34:24.000Z,"TTRS 31",TTRS,31,Rob,08:28,07/23/2025
8c5efc00-0a59-4c35-bfd1-5fdf35c89c3a,2025-07-23T11:14:56.000Z,2025-07-23T15:34:20.000Z,"TTRS 29",TTRS,29,Rob,07:14,07/23/2025
000cd7a6-5856-4e29-9cd7-5649f515d4bc,2025-07-22T12:21:22.000Z,2025-07-22T19:13:22.000Z,"LIVI 17",LIVI,17,Other,08:21,07/22/2025
abef2654-ff83-4070-a9c0-6cdef399eff8,2025-07-22T11:57:00.000Z,2025-07-22T19:13:18.000Z,"LIVI 19",LIVI,19,Other,07:56,07/22/2025
ba3596de-95db-4970-bfe4-6ccf702a30b3,2025-07-22T13:31:10.000Z,2025-07-22T19:12:23.000Z,"LIVI 21",LIVI,21,Rob,09:31,07/22/2025
dea7efdd-ba1b-4f3a-b88b-b4885d0a59f5,2025-07-22T11:47:04.000Z,2025-07-22T19:12:20.000Z,"LIVI 22",LIVI,22,Rob,07:46,07/22/2025
e0e8b2f6-39c7-4935-ba85-beca7d69de73,2025-07-11T11:53:11.000Z,2025-07-11T14:41:59.000Z,"TTRS 30",TTRS,30,Rob,07:53,07/11/2025
da7a23fd-67a2-4891-a501-3e673c3842b4,2025-07-10T16:24:42.000Z,2025-07-10T16:31:04.000Z,"TTRS 32",TTRS,32,Other,12:24,07/10/2025
edf4631d-0288-4962-b80e-58b64746be65,2025-07-10T12:39:08.000Z,2025-07-10T15:16:18.000Z,"TTRS 27",TTRS,27,Rob,08:39,07/10/2025
c90d4dd1-2a00-4fc5-8557-bac1cdac7d2f,2025-07-10T13:30:21.000Z,2025-07-10T13:30:31.000Z,"TTRS 31",TTRS,31,Other,09:30,07/10/2025
