ec5_uuid,ec5_parent_uuid,created_at,uploaded_at,title,8_Species,9_Is_it_a_juvenile,10_Foraging_type,11_Substrate,12_where,13_if_dead_decay_cla,14_tree_species,15_tree_size_class,16_time_spent_sec,17_distance_m,18_bearing,lat_19_location,long_19_location,accuracy_19_location,UTM_Northing_19_location,UTM_Easting_19_location,UTM_Zone_19_location,20_If_not_foraging,21_sex,22_height_ratio,23_comments,24_time_of_obs
5eec6316-66f3-47ad-ba55-14e7fff17fdb,be3e26b0-eea4-45ac-81e4-1c146c0ce263,2025-07-26T16:09:10.000Z,2025-07-26T16:17:15.000Z,RHWO,RHWO,,gleaning/searching,alive,"tertiary limb","1 live tree","Quercus virginiana",70+cm,93,17,4,30.657808,-84.203445,3,3395015,767976,16R,Foraging,unknown,75,"Snipping at poison ivy and hanging from small tert limbs. Feeding something to two juvs near it",12:07
b20e1a2f-314d-4128-8401-98060f042669,d343596f-177d-452d-8072-e3d060ad9b6f,2025-07-26T14:30:01.000Z,2025-07-26T16:17:11.000Z,RCWO,RCWO,,flaking,alive,"lower bole (below first secondary limb)","1 live tree",Piec,41-50cm,12,91,63,30.672824,-84.21934,5,3396643,766411,16R,Foraging,unknown,20,"Bothered by redhead to stop obs",10:28
5a3a4f1c-dd87-4f04-80b3-f2bba9ae5c90,d343596f-177d-452d-8072-e3d060ad9b6f,2025-07-26T14:17:06.000Z,2025-07-26T16:17:09.000Z,RHWO,RHWO,,Hawking,alive,other,"1 live tree",Na,1-10cm,4,86,162,30.673932,-84.218826,4,3396767,766457,16R,Foraging,unknown,0,"Hawkedvery close to ground veg right after chasing rcwo off. It did catch insect too",10:15
f0169bdc-c69a-4a0f-b22f-e362dbabc82a,d343596f-177d-452d-8072-e3d060ad9b6f,2025-07-26T14:15:48.000Z,2025-07-26T16:17:07.000Z,RHWO,RHWO,,"Other (includes not foraging)",dead,"lower bole (below first secondary limb)","5 loss most of secondary limbs",Hardwood,11-20cm,25,85,165,30.673932,-84.218834,4,3396767,766456,16R,"Fighting different species (specify in comments)",unknown,20,"Chased away rcwo from snag",10:14
1071acd5-912d-4efe-bae5-57d94e529ae3,d343596f-177d-452d-8072-e3d060ad9b6f,2025-07-26T14:00:48.000Z,2025-07-26T16:17:05.000Z,RCWO,RCWO,,gleaning/searching,alive,"lower bole (below first secondary limb)","1 live tree",Pita,41-50cm,324,143,296,30.672966,-84.218167,5,3396661,766523,16R,Foraging,unknown,10,"Close to ground on bole for most of time",09:59
c0f44ba9-306b-4368-93ed-c325e8b4fea1,d343596f-177d-452d-8072-e3d060ad9b6f,2025-07-26T13:27:04.000Z,2025-07-26T16:17:03.000Z,RHWO,RHWO,,Hawking,alive,"upper bole (above first secondary limb)","1 live tree",Pita,61-70cm,5,95,147,30.672369,-84.218029,4,3396595,766538,16R,Foraging,unknown,40,"Grabbed close to bole",09:26
449d5b7e-006f-43df-8987-bef01318efbb,2e9ff0a8-390a-4e3e-b1ce-d02b2cfeeef1,2025-07-26T13:06:00.000Z,2025-07-26T16:16:59.000Z,RHWO,RHWO,,Hawking,dead,"upper bole (above first secondary limb)","4 loss of most tertiary limbs, secondary limbs present",Pipa,61-70cm,12,40,356,30.661276,-84.218547,3,3395364,766518,16R,Foraging,unknown,65,"Saw it chasing insect",09:05
60d15036-2293-42b3-8cbd-c65f68ad8fd2,2e9ff0a8-390a-4e3e-b1ce-d02b2cfeeef1,2025-07-26T12:58:31.000Z,2025-07-26T16:16:57.000Z,DOWO,DOWO,,gleaning/searching,alive,"secondary limb","1 live tree","Quercus virginiana",31-40cm,37,51,231,30.660945,-84.217977,3,3395329,766574,16R,Foraging,female,75,"Disturbed by bluejay",08:57
d2f09435-3285-4b33-8ceb-3fc5a87927c3,2e9ff0a8-390a-4e3e-b1ce-d02b2cfeeef1,2025-07-26T12:27:35.000Z,2025-07-26T16:16:55.000Z,RHWO,RHWO,,"Other (includes not foraging)",dead,"secondary limb","6 broken off top, bole intact",Pinus,61-70cm,10,26,230,30.662678,-84.218406,3,3395520,766528,16R,"Fighting same species",unknown,80,"Adult came and fought juv who was either foraging or excavating snag",08:26
04909a87-6781-4500-a6d5-789d511aa1fd,2e9ff0a8-390a-4e3e-b1ce-d02b2cfeeef1,2025-07-26T12:21:51.000Z,2025-07-26T16:16:53.000Z,RHWO,RHWO,,Hawking,alive,"upper bole (above first secondary limb)","4 loss of most tertiary limbs, secondary limbs present",Pipa,51-60cm,6,95,206,30.662664,-84.218452,3,3395518,766524,16R,Foraging,unknown,55,"Caught dragonfly",08:20
