plot_id,Year,Date of burn,approximate_or_definite
1,2025,3/31/2025,d
2,2025,3/31/2025,d
3,2025,2/28/2025,d
4,2025,2/28/2025,d
5,2025,3/6/2025,d
6,2025,2/28/2025,d
7,2025,4/2/2025,d
8,2025,2/24/2025,d
9,2025,2/14/2025,d
10,2025,3/3/2025,d
11,2025,3/11/2025,d
12,2025,2/20/2025,d
13,2025,2/27/2025,d
14,2025,2/27/2025,d
15,2025,,d
16,2025,,d
17,2025,,d
18,2025,4/1/2025,d
19,2025,,d
20,2025,,d
21,2025,,d
22,2025,3/13/2025,a
23,2025,,d
24,2025,3/13/2025,d
25,2025,3/23/2025,d
26,2025,,d
27,2025,3/27/2025,d
28,2025,,d
29,2025,,d
30,2025,3/22/2025,d
31,2025,,d
32,2025,2/28/2025,d
1,2024,3/31/2024,a
2,2024,3/31/2024,a
3,2024,3/31/2024,a
4,2024,3/31/2024,a
5,2024,3/31/2024,a
6,2024,3/31/2024,a
7,2024,3/31/2024,a
8,2024,3/31/2024,a
9,2024,3/31/2024,a
10,2024,3/31/2024,a
11,2024,3/31/2024,a
12,2024,3/31/2024,a
13,2024,3/31/2024,a
14,2024,3/31/2024,a
15,2024,4/10/2024,d
16,2024,4/4/2024,d
17,2024,4/4/2024,d
18,2024,,d
19,2024,3/30/2024,d
20,2024,3/20/2024,d
21,2024,3/4/2024,d
22,2024,,d
23,2024,3/20/2024,d
24,2024,4/19/2024,d
25,2024,,d
26,2024,3/13/2024,d
27,2024,,d
28,2024,3/20/2024,d
29,2024,,d
30,2024,,d
31,2024,,d
32,2024,,d
1,2023,3/31/2023,a
2,2023,3/31/2023,a
3,2023,3/31/2023,a
4,2023,3/31/2023,a
5,2023,3/31/2023,a
6,2023,3/31/2023,a
7,2023,3/31/2023,a
8,2023,3/31/2023,a
9,2023,3/31/2023,a
10,2023,3/31/2023,a
11,2023,3/31/2023,a
12,2023,3/31/2023,a
13,2023,3/31/2023,a
14,2023,3/31/2023,a
15,2023,,a
16,2023,,a
17,2023,,a
18,2023,4/1/2023,a
19,2023,2/21/2023,d
20,2023,,d
21,2023,2/21/2023,d
22,2023,3/8/2023,d
23,2023,,d
24,2023,,d
25,2023,3/7/2023,d
26,2023,,d
27,2023,,d
28,2023,,d
29,2023,,d
30,2023,3/9/2023,d
31,2023,,d
32,2023,3/7/2023,d
1,2022,,
2,2022,,
3,2022,,
4,2022,,
5,2022,,
6,2022,,
7,2022,,
8,2022,,
9,2022,,
10,2022,,
11,2022,,
12,2022,,
13,2022,,
14,2022,,
15,2022,,
16,2022,,
17,2022,,
18,2022,,
19,2022,,
20,2022,,
21,2022,,
22,2022,,
23,2022,,
24,2022,4/10/2022,
25,2022,,
26,2022,4/9/2022,
27,2022,,
28,2022,4/14/2022,
29,2022,,
30,2022,,
31,2022,3/3/2022,
32,2022,,
29,2021,5/15/2021,
